date,max_temp,min_temp,avg_temp
2026-06-19,34.0,17.7,25.85
2026-06-20,30.7,15.5,23.1
2026-06-21,32.4,14.3,23.35
2026-06-22,34.7,18.1,26.400000000000002
2026-06-23,37.0,18.4,27.7
2026-06-24,37.0,19.6,28.3
2026-06-25,36.2,17.9,27.05
2026-06-26,35.1,16.8,25.950000000000003
